id,date,state_name,state_code,office_name,office_code,type,category,registrations
180071,01-03-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,35
180079,01-05-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,24
180088,01-11-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,43
180097,01-10-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,39
180106,01-09-2023,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,41
180115,01-01-2024,Karnataka,29,Electronic City Rto,KA51,Cng Only,Fuel,41
183173,01-04-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,51
183180,01-08-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,70
183189,01-12-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,96
183197,01-02-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,56
183206,01-01-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,52
183213,01-07-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,48
183221,01-06-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,59
183230,01-03-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,56
183238,01-05-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,62
183247,01-11-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,119
183256,01-10-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,128
183265,01-09-2023,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,109
183274,01-01-2024,Karnataka,29,Jnanabharathi Rto,KA41,Cng Only,Fuel,57
185282,01-04-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,10
185290,01-08-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,16
185298,01-12-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,27
185307,01-02-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,3
185316,01-01-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,11
185324,01-07-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,12
185334,01-06-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,19
185342,01-03-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,20
185350,01-05-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,11
185358,01-11-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,18
185368,01-10-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,8
185377,01-09-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,10
185386,01-01-2024,Karnataka,29,Krishnarajapuram Rto,KA53,Cng Only,Fuel,15
193718,01-04-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,5
193726,01-08-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,11
193734,01-12-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,9
193743,01-02-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,10
193751,01-01-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,8
193758,01-07-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,6
193766,01-06-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,10
193775,01-03-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,4
193783,01-05-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,6
193792,01-11-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,13
193802,01-10-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,2
193811,01-09-2023,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,11
193820,01-01-2024,Karnataka,29,Yalahanka Rto,KA50,Cng Only,Fuel,7
